id,symbol,side,price,quantity,timestamp,order_id,user_id,created_at
71,PYTHUSDT,buy,0.41,1.46,1731405987299,2220000000477067012,1,2025-04-08 04:21:42
72,PYTHUSDT,buy,0.41,193.66,1731405987289,2220000000477066994,1,2025-04-08 04:21:42
73,PYTHUSDT,buy,0.41,81.1,1733794569333,2220000000538931032,1,2025-04-08 04:21:42
74,PYTHUSDT,buy,0.41,85.56,1733794569333,2220000000538931031,1,2025-04-08 04:21:42
75,PYTHUSDT,buy,0.355,166.66,1734638112864,2220000000560045214,1,2025-04-08 04:21:42
76,PYTHUSDT,buy,0.39163,181.96,1736247707996,2220000000584157288,1,2025-04-08 04:21:42
77,PYTHUSDT,buy,0.3,166.68,1736763898276,2220000000590146089,1,2025-04-08 04:21:42
78,PYTHUSDT,buy,0.32916,250.5,1736598818741,2220000000588944008,1,2025-04-08 04:21:42
79,BLURUSDT,sell,0.41715,48.96,1714983954698,2250000000185000053,1,2025-04-08 06:23:39
80,BLURUSDT,buy,0.40815,49.01,1714979832672,2250000000184965104,1,2025-04-08 06:23:39
81,BLURUSDT,sell,0.41638,49.04,1714974218073,2250000000184929006,1,2025-04-08 06:23:39
82,BLURUSDT,buy,0.40739,49.09,1714937727105,2250000000184765537,1,2025-04-08 06:23:39
83,BLURUSDT,sell,0.46661,87.53,1716654468735,2250000000194531729,1,2025-04-08 06:23:39
84,BLURUSDT,buy,0.45249,44.2,1716637716089,2250000000194337851,1,2025-04-08 06:23:39
85,BLURUSDT,buy,0.46066,16.25,1716634943244,2250000000194308170,1,2025-04-08 06:23:39
86,BLURUSDT,buy,0.46066,27.17,1716634943236,2250000000194308169,1,2025-04-08 06:23:39
87,BLURUSDT,sell,0.17465,116.92,1720978975838,2250000000219556490,1,2025-04-08 06:23:39
88,BLURUSDT,buy,0.17074,117.14,1720934180510,2250000000219245906,1,2025-04-08 06:23:39
89,BLURUSDT,buy,0.13499,333.05,1722952984193,2250000000236316939,1,2025-04-08 06:23:39
90,BLURUSDT,buy,0.13498,37.1,1722952984193,2250000000236316938,1,2025-04-08 06:23:39
91,BLURUSDT,buy,0.16163,374.03,1722628011161,2250000000232275021,1,2025-04-08 06:23:39
92,BLURUSDT,buy,0.16161,9.3,1722628011161,2250000000232275020,1,2025-04-08 06:23:39
93,BLURUSDT,sell,0.15438,132.39,1723288177271,2250000000239106223,1,2025-04-08 06:23:39
94,BLURUSDT,buy,0.15089,99.43,1723282126234,2250000000239070516,1,2025-04-08 06:23:39
95,BLURUSDT,buy,0.15089,33.12,1723282117764,2250000000239070462,1,2025-04-08 06:23:39
96,BLURUSDT,sell,0.16799,401.49,1724220729976,2250000000245683135,1,2025-04-08 06:23:39
97,BLURUSDT,buy,0.16015,162.35,1724166244254,2250000000244840508,1,2025-04-08 06:23:39
98,BLURUSDT,buy,0.16551,120.84,1724159304002,2250000000244703035,1,2025-04-08 06:23:39
99,BLURUSDT,buy,0.16849,91.96,1724139792454,2250000000244436037,1,2025-04-08 06:23:39
100,BLURUSDT,buy,0.16849,17.84,1724139792435,2250000000244436036,1,2025-04-08 06:23:39
101,BLURUSDT,buy,0.16849,8.91,1724139792355,2250000000244436035,1,2025-04-08 06:23:39
102,BLURUSDT,buy,0.15639,511.54,1725030121486,2250000000259403207,1,2025-04-08 06:23:39
103,BLURUSDT,sell,0.22041,382.64,1726873402286,2250000000275035734,1,2025-04-08 06:23:39
104,BLURUSDT,buy,0.18536,429.23,1730649014368,2250000000301190589,1,2025-04-08 06:23:39
105,BLURUSDT,buy,0.18536,110.26,1730649014360,2250000000301190588,1,2025-04-08 06:23:39
106,BLURUSDT,sell,0.3,544.93,1732372916295,2250000000318650570,1,2025-04-08 06:23:39
107,BLURUSDT,buy,0.3437,232.76,1733808825612,2250000000340562021,1,2025-04-08 06:23:39
108,BLURUSDT,buy,0.27405,456.81,1735968783180,2250000000359252042,1,2025-04-08 06:23:39
109,BLURUSDT,buy,0.27404,199.69,1735968783180,2250000000359252041,1,2025-04-08 06:23:39
110,CPOOLUSDT,buy,0.24029,190.11,1712291318438,2230000000177201642,1,2025-04-08 07:48:54
