originalCurrency,originalAmount,USDAmount,date,mcc,accountAmount,accountCurrency,merchantName,merchantCountry,status,declineReason,authCode,type,externalTxId,externalRootTxId,apiTransaction,last4
IDR,116000.0000,7.0700,2025-12-12T07:46:02.974Z,5812,-7.0700,USD,NECTAR BALI HO,ID,APPROVED,,HFDHZM,POS_TX,2ce62607-ad54-466d-a054-6122a4552143,2ce62607-ad54-466d-a054-6122a4552143,{},4553
IDR,196650.0000,11.9700,2025-12-11T07:09:28.982Z,5812,-11.9700,USD,WINTER CAFE HO,ID,APPROVED,,RVZUCR,POS_TX,9db43be7-3557-4e5a-9032-2dc8da5559d8,9db43be7-3557-4e5a-9032-2dc8da5559d8,{},4553
IDR,230000.0000,14.0200,2025-12-09T04:21:11.866Z,7298,-14.0200,USD,U. ULUWATU,ID,APPROVED,,75HUWE,POS_TX,9871e35f-9b4e-4995-b451-d39e186886ed,9871e35f-9b4e-4995-b451-d39e186886ed,{},4553
GBP,150.0000,197.4200,2025-12-01T14:39:08.185Z,,197.4200,USD,Deel Balance,,APPROVED,,,DEPOSIT,,,,{},
IDR,336950.0000,20.5400,2025-12-01T05:06:10.064Z,5812,-20.5400,USD,SHAFFA & SMOOTHIE SHOP,ID,DECLINED,Insufficient funds,QREC5P,POS_TX,f96a75d2-56a4-4b21-ae97-007357184750,f96a75d2-56a4-4b21-ae97-007357184750,{},4553
USD,3500.1500,3500.1500,2025-01-15T23:30:06.656Z,,0.0000,USD,Deel Balance,,APPROVED,,,WITHDRAWAL,,,,{},
IDR,415996.0000,25.4100,2025-12-04T05:46:17.673Z,5499,-25.4100,USD,PEPITO MARKET UNGASAN,ID,APPROVED,,4QAM2R,POS_TX,f7156ac8-02be-44e4-8b04-0262943c8a6f,f7156ac8-02be-44e4-8b04-0262943c8a6f,{},4553
USD,5.0000,5.0000,2022-08-11T15:54:20.269Z,,,0.0000,USD,Deel Inc. - New Card Fee,,APPROVED,,,FEE,,,,{},

